"ตารางราคาแฟลชไดร์ฟ
อัพเดท 26/9/67
,,,,64 GB.,ถามจัดซื้อ,ถามจัดซื้อ,ถามจัดซื้อ,,,,,,,,,,
,,,,,,,,,,,,,,,,,
20,UM-10,,"รหัสแฟลชไดรฟ์ : UM-10
จำนวนการผลิตขึ้นต่ำ: 100 ชิ้น
ฟรี : ออกแบบ
ผลิต: 2-5 วัน Laser Logo || 3-7 วัน Silk Screen
รับประกันชิป : 5 ปี
วัสดุ: โลหะ
ขนาด: 57 x 24 x 2.5  mm.
สี : ตามแบบ
โลโก้ : Silk Screen / Printing / Laser
ความเร็ว : อ่าน 10-22MB / เขียน 3-10MB
ความจุ : 2 GB / 4 GB / 8 GB / 16 GB / 32 GB",8 GB.,95,90,ถามจัดซื้อ,FREE,18,NO,NO,NO,"H สูงไม่เกิน 10 mm.
W กว้างไม่เกิน 34 mm.
(แนวนอน)","H สูงไม่เกิน 10 mm.
W กว้างไม่เกิน 30 mm.
(แนวนอน)","H สูงไม่เกิน 10 mm.
W กว้างไม่เกิน 34 mm.
(แนวนอน)",NO,"ในกรณีแนวตั้ง 
LOGO สกรีน //LOGO เลเซอร์ //LOGO UV print 
H สูงไม่เกิน 21 mm. 
W กว้างไม่เกิน 10 mm."
,,,,16 GB .,100,95,ถามจัดซื้อ,,,,,,,,,,
,,,,32 GB.,125,120,ถามจัดซื้อ,,,,,,,,,,
,,,,64 GB.,ถามจัดซื้อ,ถามจัดซื้อ,ถามจัดซื้อ,,,,,,,,,,
,,,,,,,,,,,,,,,,,
21,UM-19,,"รหัสแฟลชไดรฟ์ : UM-19
จำนวนการผลิตขึ้นต่ำ: 100 ชิ้น
ฟรี : ออกแบบ
ผลิต: 7-15 วัน
รับประกันชิป : 5 ปี
วัสดุ: โลหะ
ขนาด: 39 x 12.35 x 4.55 mm.
สี : ตามแบบ
โลโก้ : Silk Screen / Printing / Laser
ความเร็ว : อ่าน 10-22MB / เขียน 3-10MB
ความจุ : 2 GB / 4 GB / 8 GB / 16 GB / 32 GB",8 GB.,95,90,ถามจัดซื้อ,FREE,18,NO,NO,NO,"H สูงไม่เกิน 10 mm.
W กว้างไม่เกิน 14 mm.
","H สูงไม่เกิน 10 mm.
W กว้างไม่เกิน 14 mm.
","H สูงไม่เกิน 10 mm.
W กว้างไม่เกิน 14 mm.
",NO,LOGO เว้นจากหัวเสียบ 12 mm. 
,,,,16 GB .,100,95,ถามจัดซื้อ,,,,,,,,,,
,,,,32 GB.,125,120,ถามจัดซื้อ,,,,,,,,,,
